Id,Text
ae856c7f-77ef-5793-9c35-32d6f650611d,Gives good feedback
4189170a-3c0c-5721-b15a-c13a63f82577,Respected
108a0211-2e52-5758-8c5b-82bf89460712,Lots of homework
16dede5c-49a1-57e3-abc0-76f784f87386,Accessible outside class
c6c8d92a-c541-4272-b23c-0cacfe0b23eb,Get ready to read
105006af-2ab7-44b4-8340-3f9f9137d3d0,Participation matters
6c87d957-0e37-4d9d-8af7-08af45ae313a,Skip class? You won't pass.
3813fa8c-6262-4232-bc66-7245d307a2ef,Inspirational
79a9d1d0-f30f-44cc-81c4-2863067fdc09,Test heavy
9606c45e-28bc-4df9-8970-be5c31674119,Group projects
3d3a201d-db7a-457b-a7b9-14411bff681e,Clear grading criteria
d2efd204-f275-45fc-bdc3-711b60f10671,Hilarious
61b5cc67-ff3d-4938-9961-2de73e5ed675,Beware of pop quizzes
c503711c-ef3d-40eb-aab7-933d51dcf558,Amazing lectures
d844f026-1798-4b1b-a830-dd8e4cc0e725,Lecture heavy
3e7afa92-3603-4c4f-b523-fe9d6b1e588f,Caring
cf5995ed-a734-4cb4-9e4e-60c88f509a91,So many papers
26e67016-ef58-48ea-8c17-e5ee7aa082ba,Tough grader
